Organisation Name,Town/City,County,Type & Rating,Route
AAA Car Sale Ltd,Darlington,Durham,Worker (A rating),Skilled Worker
Ambrose Avenue Group Practice,Colchester,Essex,Worker (A rating),Skilled Worker
ANDERSENLAB LTD,London,,Worker (A rating),Skilled Worker
AR Claims Management Ltd.,Birmingham,West Midlands,Worker (A rating),Skilled Worker
ARTISANS OF SARDINIA LTD,London,,Worker (A rating),Skilled Worker
Ascent Performance Group Limited,Sheffield,,Worker (A rating),Skilled Worker
ASHVALE PLANT HIRE LIMITED,WESTONING,BEDFORDSHIRE,Worker (A rating),Skilled Worker
ATHVIKA LTD,Morden,,Worker (A rating),Skilled Worker
AYKAR PROPERTY INVESTMENTS LTD,LONDON,,Worker (A rating),Skilled Worker
Ayton and Snainton Medical Practice,Scarborough,North Yorkshire,Worker (A rating),Skilled Worker
B Z Express LTD,Barking,,Worker (A rating),Skilled Worker
BAK UP CIC,Raunds,Wellingborough,Worker (A rating),Skilled Worker
Bay Collective UK Limited,London,,Worker (A rating),Skilled Worker
BIG GOLD JEWELLERY LIMITED,Hull,,Worker (A rating),Skilled Worker
Blair Drummond Smiddy Farm Shop,Stirling,,Worker (A rating),Skilled Worker
Blam Pictures Ltd,Ruislip,Greater London,Worker (A rating),Skilled Worker
Bluebell Residential Home Ltd,Hull,,Worker (A rating),Skilled Worker
BNP Associates Limited,West Drayton,Middlesex,Worker (A rating),Skilled Worker
Bournemouth Noodle Ltd t/a NoodleBar Restaurant,Bournemouth,,Worker (A rating),Skilled Worker
Brexa International Limited,London,,Worker (A rating),Skilled Worker
British Aviation Academy Ltd,Cambourne,,Worker (A rating),Skilled Worker
Brooklyn Tower Ltd,Cambuslang,,Worker (A rating),Skilled Worker
Browan Solicitors Ltd,London,,Worker (A rating),Skilled Worker
BYERLEY TURK E-COMMERCE LOGISTICS LTD,Loughton,,Worker (A rating),Skilled Worker
Cake Industries Ltd,London,,Worker (A rating),Skilled Worker
Castle Grove Retirement Home Partnership,Tiverton,,Worker (A rating),Skilled Worker
Childerstone Project Management,London,,Worker (A rating),Skilled Worker
Clinical Outcomes Solutions Limited,Folkstone,,Worker (A rating),Skilled Worker
Colours of Spices Ltd T/A India Zones,Dursley,,Worker (A rating),Skilled Worker
CONNECTED STARS LIMITED,Staines upon thames,England,Worker (A rating),Skilled Worker
CPP Laguna Limited,Cardiff,Cardiff,Worker (A rating),Skilled Worker
Cranswick PLC,Hessle,East Riding of Yorkshire,Worker (A rating),Skilled Worker
Creo Health Ltd,London,,Worker (A rating),Skilled Worker
Crisplen Healthcare Ltd,Portsmouth,Hampshire,Worker (A rating),Skilled Worker
Crossbasket Castle Ltd,"High Blantyre, Glasgow",,Worker (A rating),Skilled Worker
CybaVerse LTD,Chichester,,Worker (A rating),Skilled Worker
Daella Digital LTD,Glasgow,Scotland,Worker (A rating),Skilled Worker
Dalgety Ltd,Castle Donnington,,Worker (A rating),Skilled Worker
David Cargill House SCIO,Glasgow,City of Glasgow,Worker (A rating),Skilled Worker
DB Lifestyle Operations Limited,London,,Worker (A rating),Skilled Worker
DCAT Hotels & Restaurant Limited,Devizes,Wiltshire,Worker (A rating),Skilled Worker
Dignus Healthcare Limited,Walsall,,Worker (A rating),Skilled Worker
Disauthority Ltd,London,,Worker (A rating),Skilled Worker
DONE MEDIA CONCEPT & BRANDING SERVICES LTD,Edinburgh,Scotland,Worker (A rating),Skilled Worker
DOZZANG LTD,London,,Worker (A rating),Skilled Worker
EGAR LTD,Milton Keynes,,Worker (A rating),Skilled Worker
ESEBike LTD,London,,Worker (A rating),Skilled Worker
EURO LIFECARE LTD,London,,Worker (A rating),Skilled Worker
FIEGE LOGISTICS DIRFT LIMITED,Birmingham,,Worker (A rating),Skilled Worker
Frontier Computer Corp Limited,Maidstone,Kent,Worker (A rating),Skilled Worker
Genie Technology Limited,London,London,Worker (A rating),Skilled Worker
GRAND PLAZA KENSINGTON LIMITED,London,,Worker (A rating),Skilled Worker
Gunna s Dream Ltd,Sussex,,Worker (A rating),Skilled Worker
Hampstead Healthcare Limited,London,,Worker (A rating),Skilled Worker
Hamtee Limited,Nottingham,,Worker (A rating),Skilled Worker
HAPPY HEAVEN LTD,Manchester,,Worker (A rating),Skilled Worker
HealthHarmonie Limited,Edgbaston,,Worker (A rating),Skilled Worker
Hirsch Secure UK Limited,Coventry,,Worker (A rating),Skilled Worker
Illford Cellular Ltd,Barking,,Worker (A rating),Skilled Worker
Karve Services Ltd,London,,Worker (A rating),Skilled Worker
KATHBEAUTYBAR LIMITED,Manchester,,Worker (A rating),Skilled Worker
Kaz Contractors Ltd,Cambridge,England,Worker (A rating),Skilled Worker
Keatons Group Limited,London,,Worker (A rating),Skilled Worker
Khao Gaeng Thai,Leeds,,Worker (A rating),Skilled Worker
LEEERAL LIMITED,Spalding,,Worker (A rating),Skilled Worker
Lime Tree Court Limited,Buckingham,Buckinghamshire,Worker (A rating),Skilled Worker
Little Raccoons Day Nursery (Apsley) Limited,Hemel Hempstead,,Worker (A rating),Skilled Worker
M. BALUCH LTD,London,,Worker (A rating),Skilled Worker
MANNAT M LTD,Hitchin,,Worker (A rating),Skilled Worker
Matthew Allchurch Architects Limited,Teddington,,Worker (A rating),Skilled Worker
